======== 12:40-13:00 window excerpts (backend.log.1 + backend.log) ========
-- backend.log.1 --
2026-07-19 12:41:08 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2703.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:41:13 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2709.454688, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:41:18 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2713.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:41:23 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2718.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:41:28 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2726.121354, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:41:33 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2728.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:41:38 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2734.454688, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:41:43 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2742.788021, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:41:48 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2743.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:41:53 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2751.121354, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
